0, 5.545775, 256.153015
10000, 1.841227, 6.304268
20000, 1.645171, 5.181896
30000, 1.552498, 4.723254
40000, 1.480879, 4.396807
50000, 1.451627, 4.270057
60000, 1.416590, 4.123037
70000, 1.384671, 3.993513
80000, 1.360731, 3.899042
90000, 1.332031, 3.788731
100000, 1.319074, 3.739956
110000, 1.305568, 3.689783
120000, 1.298602, 3.664170
130000, 1.277950, 3.589273
140000, 1.258192, 3.519054
150000, 1.256131, 3.511807
160000, 1.244514, 3.471248
170000, 1.234753, 3.437531
180000, 1.229282, 3.418775
190000, 1.218333, 3.381546
200000, 1.205055, 3.336944
210000, 1.193167, 3.297508
220000, 1.191833, 3.293110
230000, 1.190245, 3.287887
240000, 1.188475, 3.282072
250000, 1.178228, 3.248614
260000, 1.176505, 3.243019
270000, 1.176819, 3.244038
280000, 1.174436, 3.236317
290000, 1.163978, 3.202648
300000, 1.164218, 3.203416
310000, 1.153373, 3.168863
320000, 1.154342, 3.171935
330000, 1.146116, 3.145952
340000, 1.140770, 3.129178
350000, 1.141800, 3.132403
360000, 1.144406, 3.140577
370000, 1.128601, 3.091329
380000, 1.134691, 3.110212
390000, 1.132702, 3.104033
400000, 1.118915, 3.061532
410000, 1.123446, 3.075433
420000, 1.116563, 3.054339
430000, 1.120464, 3.066277
440000, 1.112224, 3.041114
450000, 1.109537, 3.032955
460000, 1.107882, 3.027939
470000, 1.107550, 3.026932
480000, 1.108491, 3.029782
490000, 1.096501, 2.993674
500000, 1.098437, 2.999475
510000, 1.101478, 3.008610
520000, 1.099761, 3.003449
530000, 1.097252, 2.995922
540000, 1.095148, 2.989624
550000, 1.090385, 2.975419
560000, 1.087083, 2.965611
570000, 1.079763, 2.943981
580000, 1.081866, 2.950178
590000, 1.080587, 2.946408
600000, 1.081269, 2.948417
610000, 1.076433, 2.934194
620000, 1.073895, 2.926756
630000, 1.073783, 2.926428
640000, 1.074857, 2.929573
650000, 1.067575, 2.908317
660000, 1.074528, 2.928611
670000, 1.073260, 2.924900
680000, 1.066660, 2.905659
690000, 1.067372, 2.907729
700000, 1.063323, 2.895979
710000, 1.060811, 2.888712
720000, 1.064538, 2.899499
730000, 1.064798, 2.900254
740000, 1.051758, 2.862679
750000, 1.058126, 2.880968
760000, 1.054651, 2.870973
770000, 1.057464, 2.879061
780000, 1.058765, 2.882807
790000, 1.051447, 2.861789
800000, 1.054672, 2.871033
810000, 1.052884, 2.865903
820000, 1.047987, 2.851905
830000, 1.055299, 2.872833
840000, 1.047822, 2.851433
850000, 1.044232, 2.841217
860000, 1.047006, 2.849109
870000, 1.040098, 2.829494
880000, 1.039361, 2.827409
890000, 1.042562, 2.836475
900000, 1.044387, 2.841657
910000, 1.050974, 2.860435
920000, 1.038368, 2.824602
930000, 1.040562, 2.830809
940000, 1.040660, 2.831086
950000, 1.035306, 2.815967
960000, 1.035593, 2.816776
970000, 1.036249, 2.818623
980000, 1.040322, 2.830128
990000, 1.041040, 2.832161
